,Price,Type,Rooms,Postcode,Bedroom2,Bathroom,YearBuilt,Suburb,zipcode,price,weekly_price,monthly_price
0,1480000.0,h,2,3067.0,2.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
1,1035000.0,h,2,3067.0,2.0,1.0,1900.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
2,1465000.0,h,3,3067.0,3.0,2.0,1900.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
3,850000.0,h,3,3067.0,3.0,2.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
4,1600000.0,h,4,3067.0,3.0,1.0,2014.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
5,941000.0,h,2,3067.0,2.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
6,1876000.0,h,3,3067.0,4.0,2.0,1910.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
7,1636000.0,h,2,3067.0,2.0,1.0,1890.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
8,1097000.0,h,2,3067.0,3.0,1.0,1900.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
9,700000.0,u,2,3067.0,2.0,2.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
10,1350000.0,h,3,3067.0,3.0,2.0,2005.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
11,750000.0,u,2,3067.0,2.0,2.0,2009.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
12,1172500.0,h,2,3067.0,2.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
13,441000.0,u,1,3067.0,1.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
14,1310000.0,h,2,3067.0,2.0,1.0,1890.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
15,1200000.0,h,3,3067.0,3.0,2.0,1880.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
16,1176500.0,h,3,3067.0,2.0,1.0,1890.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
17,955000.0,h,3,3067.0,3.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
18,890000.0,h,2,3067.0,2.0,1.0,1985.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
19,1330000.0,h,4,3067.0,4.0,2.0,1900.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
20,900000.0,t,3,3067.0,3.0,2.0,2010.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
21,1090000.0,u,3,3067.0,3.0,2.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
22,500000.0,u,2,3067.0,2.0,1.0,1970.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
23,1100000.0,h,2,3067.0,2.0,2.0,2013.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
24,1315000.0,h,2,3067.0,2.0,1.0,1900.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
25,426000.0,u,1,3067.0,1.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
26,1447500.0,h,3,3067.0,3.0,3.0,2012.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
27,457000.0,u,1,3067.0,1.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
28,1135000.0,h,2,3067.0,2.0,2.0,1920.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
29,1542000.0,h,4,3067.0,4.0,3.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
30,1290000.0,h,3,3067.0,3.0,2.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
31,1290000.0,h,3,3067.0,3.0,1.0,1950.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
32,470000.0,u,1,3067.0,1.0,1.0,2013.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
33,1180000.0,h,2,3067.0,2.0,1.0,1900.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
34,1195000.0,h,3,3067.0,3.0,2.0,1998.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
35,1012500.0,h,2,3067.0,2.0,1.0,1900.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
36,1030000.0,h,2,3067.0,2.0,1.0,1930.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
37,1000000.0,h,3,3067.0,3.0,1.0,1900.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
38,870000.0,u,2,3067.0,2.0,2.0,2013.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
39,1050000.0,h,2,3067.0,2.0,1.0,1890.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
40,1242000.0,h,2,3067.0,2.0,1.0,1940.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
41,1165000.0,h,3,3067.0,3.0,2.0,1888.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
42,480000.0,u,2,3067.0,2.0,1.0,1970.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
43,750000.0,u,2,3067.0,2.0,1.0,2013.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
44,855000.0,h,3,3067.0,3.0,2.0,2004.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
45,505000.0,u,2,3067.0,2.0,1.0,1970.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
46,1402500.0,h,3,3067.0,3.0,1.0,1960.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
47,550000.0,u,2,3067.0,2.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
48,1635000.0,h,3,3067.0,3.0,1.0,1880.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
49,940000.0,h,2,3067.0,2.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
50,1375000.0,h,3,3067.0,3.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
51,1525000.0,t,4,3067.0,4.0,2.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
52,911000.0,h,2,3067.0,2.0,1.0,,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
53,1190000.0,h,2,3067.0,2.0,2.0,2000.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
54,1000000.0,h,3,3067.0,3.0,1.0,1900.0,Abbotsford,3067.0,130.62403100775194,605.1521739130435,2187.032258064516
55,1275000.0,h,2,3206.0,2.0,1.0,1900.0,Albert Park,3206.0,229.41803278688525,1187.4,3734.0
56,1455000.0,h,2,3206.0,2.0,1.0,,Albert Park,3206.0,229.41803278688525,1187.4,3734.0
57,2850000.0,h,3,3206.0,3.0,2.0,1890.0,Albert Park,3206.0,229.41803278688525,1187.4,3734.0
58,1850000.0,h,3,3206.0,3.0,2.0,1890.0,Albert Park,3206.0,229.41803278688525,1187.4,3734.0
